Team	Pos	Name	Club	Age	Caps	Goals	Captain?																		
Curaçao	GK	Trevor Doornbusch	VVV-Venlo	26	7	0																			
Curaçao	GK	Tyrick Bodak	Telstar	24	4	0																			
Curaçao	DF	Juriën Gaari	Abha	32	58	1																			
Curaçao	DF	Roshon van Eijma	RKC Waalwijk	28	27	1																			
Curaçao	DF	Sherel Floranus	PEC Zwolle	27	26	0																			
Curaçao	DF	Joshua Brenet	Kayserispor	32	17	1																			
Curaçao	DF	Shurandy Sambo	Sparta Rotterdam	24	7	0																			
Curaçao	DF	Armando Obispo	PSV Eindhoven	27	4	0																			
Curaçao	DF	Riechedly Bazoer	Konyaspor	29	3	0																			
Curaçao	DF	Deveron Fonville	NEC	23	0	0																			
Curaçao	MF	Leandro Bacuna	Iğdır	34	70	16	Captain																		
Curaçao	MF	Juninho Bacuna	Volendam	28	47	14																			
Curaçao	MF	Godfried Roemeratoe	RKC Waalwijk	26	26	1																			
Curaçao	MF	Kevin Felida	Den Bosch	26	19	1																			
Curaçao	MF	Livano Comenencia	Zürich	22	18	1																			
Curaçao	MF	Ar'jany Martha	Rotherham United	22	8	2																			
Curaçao	MF	Tyrese Noslin	Telstar	23	5	1																			
Curaçao	FW	Kenji Gorré	Maccabi Haifa	31	37	6																			
Curaçao	FW	Brandley Kuwas	Volendam	33	34	2																			
Curaçao	FW	Gervane Kastaneer	Terengganu	30	27	9																			
Curaçao	FW	Jeremy Antonisse	Kifisia	24	25	3																			
Curaçao	FW	Jearl Margaritha	Beveren	26	21	5																			
Curaçao	FW	Jürgen Locadia	Miami FC	32	12	1																			
Curaçao	FW	Sontje Hansen	Middlesbrough	24	5	1																			
Curaçao	FW	Tahith Chong	Sheffield United	26	4	2																			
Ecuador	GK	Hernán Galíndez	Huracán	39	34	0																			
Ecuador	GK	Moisés Ramírez	Kifisia	25	7	0																			
Ecuador	GK	Gonzalo Valle	LDU Quito	30	3	0																			
Ecuador	DF	Félix Torres	Internacional	29	48	5																			
Ecuador	DF	Piero Hincapié	Arsenal	24	51	3																			
Ecuador	DF	Joel Ordóñez	Club Brugge	22	16	0																			
Ecuador	DF	Willian Pacho	Paris Saint-Germain	24	34	2																			
Ecuador	DF	Pervis Estupiñán	Milan	28	53	4																			
Ecuador	DF	Ángelo Preciado	Atlético Mineiro	28	54	0																			
Ecuador	DF	Jackson Porozo	Tijuana	25	9	1																			
Ecuador	DF	Yaimar Medina	Genk	21	5	0																			
Ecuador	MF	Jordy Alcívar	Independiente del Valle	26	10	1																			
Ecuador	MF	Anthony Valencia	Antwerp	22	2	1																			
Ecuador	MF	Kendry Páez	River Plate	19	25	2																			
Ecuador	MF	Alan Minda	Atlético Mineiro	23	19	2																			
Ecuador	MF	Pedro Vite	UNAM	24	16	1																			
Ecuador	MF	Denil Castillo	Midtjylland	22	5	0																			
Ecuador	MF	Alan Franco	Atlético Mineiro	27	57	1																			
Ecuador	MF	Moisés Caicedo	Chelsea	24	60	3																			
Ecuador	FW	John Yeboah	Venezia	25	22	3																			
Ecuador	FW	Kevin Rodríguez	Union Saint-Gilloise	26	31	2																			
Ecuador	FW	Enner Valencia	Pachuca	36	105	49	Captain																		
Ecuador	FW	Jordy Caicedo	Huracán	28	19	3																			
Ecuador	FW	Gonzalo Plata	Flamengo	25	49	8																			
Ecuador	FW	Nilson Angulo	Sunderland	22	13	1																			
Ecuador	FW	Jeremy Arévalo	VfB Stuttgart	21	3	0																			
Germany	GK	Manuel Neuer	Bayern Munich	40	124	0																			
Germany	GK	Oliver Baumann	TSG Hoffenheim	36	12	0																			
Germany	GK	Alexander Nübel	VfB Stuttgart	29	3	0																			
Germany	DF	Antonio Rüdiger	Real Madrid	33	82	3																			
Germany	DF	Waldemar Anton	Borussia Dortmund	29	12	0																			
Germany	DF	Jonathan Tah	Bayern Munich	30	46	1																			
Germany	DF	Nico Schlotterbeck	Borussia Dortmund	26	26	0																			
Germany	DF	Nathaniel Brown	Eintracht Frankfurt	22	4	0																			
Germany	DF	David Raum	RB Leipzig	28	36	1																			
Germany	DF	Malick Thiaw	Newcastle United	24	5	0																			
Germany	MF	Aleksandar Pavlović	Bayern Munich	22	10	1																			
Germany	MF	Joshua Kimmich	Bayern Munich	31	109	11	Captain																		
Germany	MF	Leon Goretzka	Bayern Munich	31	69	15																			
Germany	MF	Jamie Leweling	VfB Stuttgart	25	4	1																			
Germany	MF	Jamal Musiala	Bayern Munich	23	41	9																			
Germany	MF	Pascal Groß	Brighton & Hove Albion	34	18	1																			
Germany	MF	Angelo Stiller	VfB Stuttgart	25	7	0																			
Germany	MF	Florian Wirtz	Liverpool	23	40	11																			
Germany	MF	Leroy Sané	Galatasaray	30	75	16																			
Germany	MF	Nadiem Amiri	Mainz 05	29	10	1																			
Germany	MF	Felix Nmecha	Borussia Dortmund	25	7	1																			
Germany	MF	Lennart Karl	Bayern Munich	18	3	0																			
Germany	FW	Kai Havertz	Arsenal	27	57	21																			
Germany	FW	Nick Woltemade	Newcastle United	24	11	4																			
Germany	FW	Maximilian Beier	Borussia Dortmund	23	8	0																			
Germany	FW	Deniz Undav	VfB Stuttgart	29	8	6																			
Ivory Coast	GK	Yahia Fofana	Çaykur Rizespor	25	34	0																			
Ivory Coast	GK	Alban Lafont	Panathinaikos	27	4	0																			
Ivory Coast	GK	Mohamed Koné	Charleroi	24	0	0																			
Ivory Coast	DF	Ghislain Konan	Gil Vicente	30	53	0																			
Ivory Coast	DF	Odilon Kossounou	Atalanta	25	35	0																			
Ivory Coast	DF	Wilfried Singo	Galatasaray	25	33	1																			
Ivory Coast	DF	Evan Ndicka	Roma	26	28	0																			
Ivory Coast	DF	Emmanuel Agbadou	Beşiktaş	29	19	2																			
Ivory Coast	DF	Guéla Doué	Strasbourg	23	19	2																			
Ivory Coast	DF	Ousmane Diomande	Sporting CP	22	14	1																			
Ivory Coast	DF	Christopher Opéri	İstanbul Başakşehir	29	11	0																			
Ivory Coast	MF	Franck Kessié	Al-Ahli	29	102	15	Captain																		
Ivory Coast	MF	Jean Michaël Seri	Maribor	34	65	4																			
Ivory Coast	MF	Ibrahim Sangaré	Nottingham Forest	28	57	12																			
Ivory Coast	MF	Seko Fofana	Porto	31	31	7																			
Ivory Coast	MF	Christ Inao Oulaï	Trabzonspor	20	8	0																			
Ivory Coast	MF	Parfait Guiagon	Charleroi	25	5	0																			
Ivory Coast	FW	Nicolas Pépé	Villarreal	31	54	12																			
Ivory Coast	FW	Oumar Diakité	Cercle Brugge	22	28	6																			
Ivory Coast	FW	Simon Adingra	Monaco	24	28	5																			
Ivory Coast	FW	Evann Guessand	Crystal Palace	24	21	4																			
Ivory Coast	FW	Amad Diallo	Manchester United	23	18	5																			
Ivory Coast	FW	Yan Diomande	RB Leipzig	19	9	3																			
Ivory Coast	FW	Bazoumana Touré	TSG Hoffenheim	20	5	2																			
Ivory Coast	FW	Elye Wahi	Nice	23	1	0																			
Ivory Coast	FW	Ange-Yoan Bonny	Inter Milan	22	0	0																			
Japan	GK	Zion Suzuki	Parma	23	23	0																			
Japan	GK	Keisuke Ōsako	Sanfrecce Hiroshima	26	11	0																			
Japan	GK	Tomoki Hayakawa	Kashima Antlers	27	3	0																			
Japan	DF	Yūto Nagatomo	FC Tokyo	39	144	4																			
Japan	DF	Takehiro Tomiyasu	Ajax	27	42	1																			
Japan	DF	Kō Itakura	Ajax	29	39	2																			
Japan	DF	Shōgo Taniguchi	Sint-Truiden	34	37	1																			
Japan	DF	Hiroki Itō	Bayern Munich	27	23	1																			
Japan	DF	Yukinari Sugawara	Werder Bremen	25	20	2																			
Japan	DF	Ayumu Seko	Le Havre	26	13	0																			
Japan	DF	Tsuyoshi Watanabe	Feyenoord	29	10	0																			
Japan	DF	Junnosuke Suzuki	Copenhagen	22	6	0																			
Japan	MF	Wataru Endo	Liverpool	33	72	4	Captain																		
Japan	MF	Junya Itō	Genk	33	68	15																			
Japan	MF	Ritsu Dōan	Eintracht Frankfurt	27	64	11																			
Japan	MF	Daichi Kamada	Crystal Palace	29	49	12																			
Japan	MF	Takefusa Kubo	Real Sociedad	25	48	7																			
Japan	MF	Ao Tanaka	Leeds United	27	37	8																			
Japan	MF	Keito Nakamura	Reims	25	24	10																			
Japan	MF	Kaishū Sano	Mainz 05	25	12	0																			
Japan	FW	Ayase Ueda	Feyenoord	27	38	16																			
Japan	FW	Daizen Maeda	Celtic	28	27	4																			
Japan	FW	Kōki Ogawa	NEC	28	14	10																			
Japan	FW	Yuito Suzuki	SC Freiburg	24	6	0																			
Japan	FW	Keisuke Gotō	Sint-Truiden	21	3	0																			
Japan	FW	Kento Shiogai	VfL Wolfsburg	21	1	0																			
Netherlands	GK	Bart Verbruggen	Brighton & Hove Albion	23	27	0																			
Netherlands	GK	Mark Flekken	Bayer Leverkusen	32	11	0																			
Netherlands	GK	Robin Roefs	Sunderland	23	0	0																			
Netherlands	DF	Virgil van Dijk	Liverpool	34	90	12	Captain																		
Netherlands	DF	Denzel Dumfries	Inter Milan	30	71	11																			
Netherlands	DF	Nathan Aké	Manchester City	31	58	5																			
Netherlands	DF	Jurriën Timber	Arsenal	24	23	0																			
Netherlands	DF	Micky van de Ven	Tottenham Hotspur	25	19	1																			
Netherlands	DF	Mats Wieffer	Brighton & Hove Albion	26	14	1																			
Netherlands	DF	Jan Paul van Hecke	Brighton & Hove Albion	26	10	0																			
Netherlands	DF	Jorrel Hato	Chelsea	20	7	0																			
Netherlands	MF	Frenkie de Jong	Barcelona	29	64	2																			
Netherlands	MF	Marten de Roon	Atalanta	35	42	1																			
Netherlands	MF	Tijjani Reijnders	Manchester City	27	30	7																			
Netherlands	MF	Teun Koopmeiners	Juventus	28	27	3																			
Netherlands	MF	Ryan Gravenberch	Liverpool	24	25	1																			
Netherlands	MF	Justin Kluivert	Bournemouth	27	11	0																			
Netherlands	MF	Quinten Timber	Marseille	24	10	1																			
Netherlands	MF	Guus Til	PSV Eindhoven	28	6	1																			
Netherlands	FW	Memphis Depay	Corinthians	32	108	55																			
Netherlands	FW	Wout Weghorst	Ajax	33	51	14																			
Netherlands	FW	Donyell Malen	Roma	27	51	13																			
Netherlands	FW	Cody Gakpo	Liverpool	27	48	19																			
Netherlands	FW	Noa Lang	Galatasaray	26	15	3																			
Netherlands	FW	Brian Brobbey	Sunderland	24	10	1																			
Netherlands	FW	Crysencio Summerville	West Ham United	24	0	0																			
Sweden	GK	Kristoffer Nordfeldt	AIK	36	20	0																			
Sweden	GK	Viktor Johansson	Stoke City	27	12	0																			
Sweden	GK	Jacob Widell Zetterström	Derby County	27	2	0																			
Sweden	DF	Victor Lindelöf	Aston Villa	31	75	3	Captain																		
Sweden	DF	Isak Hien	Atalanta	27	27	0																			
Sweden	DF	Gabriel Gudmundsson	Leeds United	27	23	0																			
Sweden	DF	Carl Starfelt	Celta Vigo	31	17	0																			
Sweden	DF	Herman Johansson	FC Dallas	28	2	0																			
Sweden	DF	Hjalmar Ekdal	Burnley	27	11	0																			
Sweden	DF	Daniel Svensson	Borussia Dortmund	24	11	0																			
Sweden	DF	Gustaf Lagerbielke	Braga	26	9	2																			
Sweden	DF	Eric Smith	FC St. Pauli	29	0	0																			
Sweden	DF	Elliot Stroud	Mjällby AIF	23	0	0																			
Sweden	MF	Mattias Svanberg	VfL Wolfsburg	27	39	2																			
Sweden	MF	Jesper Karlström	Udinese	30	23	0																			
Sweden	MF	Yasin Ayari	Brighton & Hove Albion	22	19	3																			
Sweden	MF	Lucas Bergvall	Tottenham Hotspur	20	8	0																			
Sweden	MF	Besfort Zeneli	Union Saint-Gilloise	23	6	0																			
Sweden	FW	Alexander Isak	Liverpool	26	56	16																			
Sweden	FW	Viktor Gyökeres	Arsenal	28	32	19																			
Sweden	FW	Ken Sema	Pafos	32	32	5																			
Sweden	FW	Anthony Elanga	Newcastle United	24	28	6																			
Sweden	FW	Benjamin Nygren	Celtic	24	9	3																			
Sweden	FW	Alexander Bernhardsson	Holstein Kiel	27	9	0																			
Sweden	FW	Gustaf Nilsson	Club Brugge	29	8	3																			
Sweden	FW	Taha Ali	Malmö FF	27	1	0																			
Tunisia	GK	Aymen Dahmen	CS Sfaxien	29	37	0																			
Tunisia	GK	Sabri Ben Hessen	Étoile du Sahel	29	2	0																			
Tunisia	GK	Mouhib Chamakh	Club Africain	24	1	0																			
Tunisia	DF	Montassar Talbi	Lorient	28	62	4																			
Tunisia	DF	Dylan Bronn	Servette	30	52	2																			
Tunisia	DF	Ali Abdi	Nice	32	45	7																			
Tunisia	DF	Yan Valery	Young Boys	27	21	0																			
Tunisia	DF	Mohamed Amine Ben Hamida	Espérance de Tunis	30	12	0																			
Tunisia	DF	Moutaz Neffati	IFK Norrköping	21	5	0																			
Tunisia	DF	Omar Rekik	Maribor	24	4	0																			
Tunisia	DF	Adem Arous	Kasımpaşa	21	1	0																			
Tunisia	DF	Raed Chikhaoui	US Monastir	22	0	0																			
Tunisia	MF	Ellyes Skhiri	Eintracht Frankfurt	31	81	4	Captain																		
Tunisia	MF	Hannibal Mejbri	Burnley	23	44	1																			
Tunisia	MF	Anis Ben Slimane	Norwich City	25	39	4																			
Tunisia	MF	Mortadha Ben Ouanes	Kasımpaşa	31	17	0																			
Tunisia	MF	Ismaël Gharbi	FC Augsburg	22	15	2																			
Tunisia	MF	Hadj Mahmoud	Lugano	26	7	0																			
Tunisia	MF	Rani Khedira	Union Berlin	32	2	0																			
Tunisia	FW	Elias Achouri	Copenhagen	27	29	4																			
Tunisia	FW	Firas Chaouat	Club Africain	30	28	6																			
Tunisia	FW	Hazem Mastouri	Dynamo Makhachkala	28	18	4																			
Tunisia	FW	Elias Saad	Hannover 96	26	14	4																			
Tunisia	FW	Sebastian Tounekti	Celtic	23	10	1																			
Tunisia	FW	Khalil Ayari	Paris Saint-Germain	21	2	0																			
Tunisia	FW	Rayan Elloumi	Vancouver Whitecaps FC	18	2	0																			
Belgium	GK	Thibaut Courtois	Real Madrid	34	107	0																			
Belgium	GK	Senne Lammens	Manchester United	23	2	0																			
Belgium	GK	Mike Penders	Strasbourg	20	0	0																			
Belgium	DF	Thomas Meunier	Lille	34	78	10																			
Belgium	DF	Timothy Castagne	Fulham	30	62	2																			
Belgium	DF	Arthur Theate	Eintracht Frankfurt	26	32	1																			
Belgium	DF	Zeno Debast	Sporting CP	22	26	1																			
Belgium	DF	Maxim De Cuyper	Brighton & Hove Albion	25	17	4																			
Belgium	DF	Brandon Mechele	Club Brugge	33	7	1																			
Belgium	DF	Koni De Winter	Milan	23	7	0																			
Belgium	DF	Joaquin Seys	Club Brugge	21	4	0																			
Belgium	DF	Nathan Ngoy	Lille	23	2	0																			
Belgium	MF	Axel Witsel	Girona	37	136	12																			
Belgium	MF	Kevin De Bruyne	Napoli	34	117	36																			
Belgium	MF	Youri Tielemans	Aston Villa	29	83	12	Captain																		
Belgium	MF	Hans Vanaken	Club Brugge	33	32	7																			
Belgium	MF	Amadou Onana	Aston Villa	24	27	1																			
Belgium	MF	Nicolas Raskin	Rangers	25	11	1																			
Belgium	FW	Romelu Lukaku	Napoli	33	124	89																			
Belgium	FW	Leandro Trossard	Arsenal	31	50	11																			
Belgium	FW	Jérémy Doku	Manchester City	24	41	7																			
Belgium	FW	Dodi Lukébakio	Benfica	28	29	5																			
Belgium	FW	Charles De Ketelaere	Atalanta	25	28	5																			
Belgium	FW	Alexis Saelemaekers	Milan	26	23	2																			
Belgium	FW	Diego Moreira	Strasbourg	21	2	0																			
Belgium	FW	Matias Fernandez-Pardo	Lille	21	0	0																			
Egypt	GK	Mohamed El Shenawy	Al Ahly	37	76	0																			
Egypt	GK	Mostafa Shobeir	Al Ahly	26	8	0																			
Egypt	GK	Mohamed Alaa	El Gouna	27	0	0																			
Egypt	GK	El Mahdy Soliman	Zamalek	39	0	0																			
Egypt	DF	Hamdy Fathy	Al-Wakrah	31	62	3																			
Egypt	DF	Ramy Rabia	Al Ain	33	44	5																			
Egypt	DF	Mohamed Hany	Al Ahly	30	41	0																			
Egypt	DF	Ahmed Fatouh	Zamalek	28	38	1																			
Egypt	DF	Mohamed Abdelmonem	Nice	27	35	3																			
Egypt	DF	Yasser Ibrahim	Al Ahly	33	16	1																			
Egypt	DF	Hossam Abdelmaguid	Zamalek	25	13	0																			
Egypt	DF	Karim Hafez	Pyramids	30	8	0																			
Egypt	DF	Tarek Alaa	ZED	24	2	0																			
Egypt	MF	Marwan Attia	Al Ahly	27	33	1																			
Egypt	MF	Emam Ashour	Al Ahly	28	28	0																			
Egypt	MF	Mohanad Lasheen	Pyramids	30	22	0																			
Egypt	MF	Mahmoud Saber	ZED	24	15	1																			
Egypt	MF	Nabil Emad	Al-Najma	30	12	0																			
Egypt	MF	Mostafa Ziko [ar]	Pyramids	29	1	1																			
Egypt	FW	Mohamed Salah	Liverpool	33	116	67	Captain																		
Egypt	FW	Trézéguet	Al Ahly	31	95	23																			
Egypt	FW	Zizo	Al Ahly	30	62	5																			
Egypt	FW	Omar Marmoush	Manchester City	27	48	11																			
Egypt	FW	Ibrahim Adel	Nordsjælland	25	23	3																			
Egypt	FW	Haissem Hassan	Oviedo	24	3	0																			
Egypt	FW	Hamza Abdelkarim	Barcelona B	18	1	0																			
Iran	GK	Max Crocombe	Millwall	32	22	0																			
Iran	GK	Alex Paulsen	Lechia Gdańsk	23	6	0																			
Iran	GK	Michael Woud	Auckland FC	27	6	0																			
Iran	DF	Tim Payne	Wellington Phoenix	32	49	3																			
Iran	DF	Francis de Vries	Auckland FC	31	18	1																			
Iran	DF	Tyler Bindon	Sheffield United	21	23	3																			
Iran	DF	Michael Boxall	Minnesota United FC	37	61	1																			
Iran	DF	Liberato Cacace	Wrexham	25	35	1																			
Iran	DF	Nando Pijnaker	Auckland FC	27	23	0																			
Iran	DF	Finn Surman	Portland Timbers	22	17	2																			
Iran	DF	Callan Elliot	Auckland FC	26	9	0																			
Iran	DF	Tommy Smith	Braintree Town	36	56	2																			
Iran	MF	Joe Bell	Viking	27	31	1																			
Iran	MF	Matthew Garbett	Peterborough United	24	35	5																			
Iran	MF	Marko Stamenić	Swansea City	24	37	3																			
Iran	MF	Sarpreet Singh	Wellington Phoenix	27	26	3																			
Iran	MF	Elijah Just	Motherwell	26	42	9																			
Iran	MF	Alex Rufer	Wellington Phoenix	29	24	0																			
Iran	MF	Ben Old	Saint-Étienne	23	22	2																			
Iran	MF	Callum McCowatt	Silkeborg	27	30	4																			
Iran	MF	Ryan Thomas	PEC Zwolle	31	25	3																			
Iran	MF	Lachlan Bayliss	Newcastle Jets	23	2	0																			
Iran	FW	Chris Wood	Nottingham Forest	34	88	45	Captain																		
Iran	FW	Kosta Barbarouses	Western Sydney Wanderers	36	74	10																			
Iran	FW	Ben Waine	Port Vale	25	30	9																			
Iran	FW	Jesse Randall	Auckland FC	23	9	2																			
New Zealand	GK	Max Crocombe	Millwall	32	22	0																			
New Zealand	DF	Tim Payne	Wellington Phoenix	32	49	3																			
New Zealand	DF	Francis de Vries	Auckland FC	31	18	1																			
New Zealand	DF	Tyler Bindon	Nottingham Forest	21	23	3																			
New Zealand	DF	Michael Boxall	Minnesota United FC	37	61	1																			
New Zealand	MF	Joe Bell	Viking	27	31	1																			
New Zealand	MF	Matthew Garbett	Peterborough United	24	35	5																			
New Zealand	MF	Marko Stamenić	Swansea City	24	37	3																			
New Zealand	FW	Chris Wood	Nottingham Forest	34	88	45	Captain																		
New Zealand	MF	Sarpreet Singh	Wellington Phoenix	27	26	3																			
New Zealand	MF	Elijah Just	Motherwell	26	42	9																			
New Zealand	GK	Alex Paulsen	Lechia Gdańsk	23	6	0																			
New Zealand	DF	Liberato Cacace	Wrexham	25	35	1																			
New Zealand	MF	Alex Rufer	Wellington Phoenix	29	24	0																			
New Zealand	DF	Nando Pijnaker	Auckland FC	27	23	0																			
New Zealand	DF	Finn Surman	Portland Timbers	22	17	2																			
New Zealand	FW	Kosta Barbarouses	Western Sydney Wanderers	36	74	10																			
New Zealand	FW	Ben Waine	Port Vale	25	30	9																			
New Zealand	MF	Ben Old	Saint-Étienne	23	22	2																			
New Zealand	MF	Callum McCowatt	Silkeborg	27	30	4																			
New Zealand	FW	Jesse Randall	Auckland FC	23	9	2																			
New Zealand	GK	Michael Woud	Auckland FC	27	6	0																			
New Zealand	MF	Ryan Thomas	PEC Zwolle	31	25	3																			
New Zealand	DF	Callan Elliot	Auckland FC	26	9	0																			
New Zealand	MF	Lachlan Bayliss	Newcastle Jets	23	2	0																			
New Zealand	DF	Tommy Smith	Braintree Town	36	56	2																			
Cape Verde	GK	Vozinha	Chaves	40	85	0																			
Cape Verde	GK	Márcio Rosa	Montana	29	10	0																			
Cape Verde	GK	CJ dos Santos	San Diego	25	0	0																			
Cape Verde	DF	Stopira	Torreense	38	60	4																			
Cape Verde	DF	Pico	Shamrock Rovers	33	44	0																			
Cape Verde	DF	João Paulo	FCSB	28	40	1																			
Cape Verde	DF	Diney	Al Bataeh	31	29	2																			
Cape Verde	DF	Logan Costa	Villarreal	25	26	0																			
Cape Verde	DF	Steven Moreira	Columbus Crew	31	18	0																			
Cape Verde	DF	Wagner Pina	Trabzonspor	23	12	0																			
Cape Verde	DF	Sidny Lopes Cabral	Benfica	22	8	3																			
Cape Verde	DF	Kelvin Pires	SJK	26	4	1																			
Cape Verde	MF	Jamiro Monteiro	PEC Zwolle	32	53	5																			
Cape Verde	MF	Kevin Pina	Krasnodar	29	30	2																			
Cape Verde	MF	Deroy Duarte	Ludogorets Razgrad	26	30	0																			
Cape Verde	MF	Telmo Arcanjo	Vitória de Guimarães	24	14	1																			
Cape Verde	MF	Laros Duarte	Puskás Akadémia	29	12	0																			
Cape Verde	MF	Yannick Semedo	Farense	30	10	1																			
Cape Verde	FW	Ryan Mendes	Iğdır	36	94	22	Captain																		
Cape Verde	FW	Garry Rodrigues	Apollon Limassol	35	59	9																			
Cape Verde	FW	Willy Semedo	Omonia	32	36	2																			
Cape Verde	FW	Jovane Cabral	Estrela Amadora	27	25	2																			
Cape Verde	FW	Benchimol	Akron Tolyatti	24	21	5																			
Cape Verde	FW	Dailon Livramento	Casa Pia	25	20	7																			
Cape Verde	FW	Hélio Varela	Maccabi Tel Aviv	24	19	0																			
Cape Verde	FW	Nuno da Costa	İstanbul Başakşehir	35	7	1																			
Saudi Arabia	GK	Mohammed Al-Owais	Al-Ula	34	63	0																			
Saudi Arabia	GK	Nawaf Al-Aqidi	Al-Nassr	26	22	0																			
Saudi Arabia	GK	Ahmed Al-Kassar	Al-Qadsiah	35	8	0																			
Saudi Arabia	DF	Saud Abdulhamid	Lens	26	53	1																			
Saudi Arabia	DF	Hassan Al-Tambakti	Al-Hilal	27	51	0																			
Saudi Arabia	DF	Abdulelah Al-Amri	Al-Nassr	29	41	1																			
Saudi Arabia	DF	Nawaf Boushal	Al-Nassr	26	24	0																			
Saudi Arabia	DF	Ali Lajami	Al-Hilal	30	20	1																			
Saudi Arabia	DF	Ali Majrashi	Al-Ahli	26	20	0																			
Saudi Arabia	DF	Hassan Kadesh	Al-Ittihad	33	19	2																			
Saudi Arabia	DF	Moteb Al-Harbi	Al-Hilal	26	11	0																			
Saudi Arabia	DF	Jehad Thakri	Al-Qadsiah	24	6	0																			
Saudi Arabia	DF	Mohammed Abu Al-Shamat	Al-Qadsiah	23	5	0																			
Saudi Arabia	MF	Salem Al-Dawsari	Al-Hilal	34	107	26	Captain																		
Saudi Arabia	MF	Mohamed Kanno	Al-Hilal	31	75	8																			
Saudi Arabia	MF	Nasser Al-Dawsari	Al-Hilal	27	43	0																			
Saudi Arabia	MF	Abdullah Al-Khaibari	Al-Nassr	29	38	0																			
Saudi Arabia	MF	Musab Al-Juwayr	Al-Qadsiah	22	33	6																			
Saudi Arabia	MF	Ayman Yahya	Al-Nassr	25	25	0																			
Saudi Arabia	MF	Ziyad Al-Johani	Al-Ahli	24	11	0																			
Saudi Arabia	MF	Sultan Mandash	Al-Hilal	31	5	1																			
Saudi Arabia	MF	Alaa Al-Hejji	Neom	30	1	0																			
Saudi Arabia	FW	Firas Al-Buraikan	Al-Ahli	26	69	15																			
Saudi Arabia	FW	Saleh Al-Shehri	Al-Ittihad	32	55	18																			
Saudi Arabia	FW	Abdullah Al-Hamdan	Al-Nassr	26	48	11																			
Saudi Arabia	FW	Khalid Al-Ghannam	Al-Ettifaq	25	5	0																			
Spain	GK	Unai Simón	Athletic Bilbao	29	57	0																			
Spain	GK	David Raya	Arsenal	30	12	0																			
Spain	GK	Joan Garcia	Barcelona	25	1	0																			
Spain	DF	Aymeric Laporte	Athletic Bilbao	32	44	2																			
Spain	DF	Marc Cucurella	Chelsea	27	23	1																			
Spain	DF	Marcos Llorente	Atlético Madrid	31	23	0																			
Spain	DF	Eric García	Barcelona	25	19	0																			
Spain	DF	Pedro Porro	Tottenham Hotspur	26	16	0																			
Spain	DF	Álex Grimaldo	Bayer Leverkusen	30	12	0																			
Spain	DF	Pau Cubarsí	Barcelona	19	11	0																			
Spain	DF	Marc Pubill	Atlético Madrid	22	0	0																			
Spain	MF	Rodri	Manchester City	29	61	4	Captain																		
Spain	MF	Mikel Merino	Arsenal	29	41	10																			
Spain	MF	Fabián Ruiz	Paris Saint-Germain	30	41	6																			
Spain	MF	Pedri	Barcelona	23	40	5																			
Spain	MF	Gavi	Barcelona	21	28	5																			
Spain	MF	Martín Zubimendi	Arsenal	27	25	3																			
Spain	MF	Álex Baena	Atlético Madrid	24	15	2																			
Spain	FW	Ferran Torres	Barcelona	26	55	23																			
Spain	FW	Mikel Oyarzabal	Real Sociedad	29	52	24																			
Spain	FW	Dani Olmo	Barcelona	28	48	12																			
Spain	FW	Nico Williams	Athletic Bilbao	23	30	6																			
Spain	FW	Lamine Yamal	Barcelona	18	25	6																			
Spain	FW	Yéremy Pino	Crystal Palace	23	21	4																			
Spain	FW	Borja Iglesias	Celta Vigo	33	6	0																			
Spain	FW	Víctor Muñoz	Osasuna	22	2	1																			
Uruguay	GK	Fernando Muslera	Estudiantes	39	134	0																			
Uruguay	GK	Sergio Rochet	Internacional	33	35	0																			
Uruguay	GK	Santiago Mele	Monterrey	28	8	0																			
Uruguay	DF	José María Giménez	Atlético Madrid	31	99	8	Captain																		
Uruguay	DF	Matías Viña	River Plate	28	43	1																			
Uruguay	DF	Mathías Olivera	Napoli	28	35	2																			
Uruguay	DF	Guillermo Varela	Flamengo	33	28	0																			
Uruguay	DF	Ronald Araújo	Barcelona	27	27	1																			
Uruguay	DF	Sebastián Cáceres	América	26	24	0																			
Uruguay	DF	Joaquín Piquerez	Palmeiras	27	19	0																			
Uruguay	DF	Santiago Bueno	Wolverhampton Wanderers	27	8	0																			
Uruguay	MF	Rodrigo Bentancur	Tottenham Hotspur	28	74	3																			
Uruguay	MF	Federico Valverde	Real Madrid	27	73	9																			
Uruguay	MF	Giorgian de Arrascaeta	Flamengo	32	60	13																			
Uruguay	MF	Facundo Pellistri	Panathinaikos	24	39	2																			
Uruguay	MF	Manuel Ugarte	Manchester United	25	36	1																			
Uruguay	MF	Nicolás de la Cruz	Flamengo	29	34	5																			
Uruguay	MF	Brian Rodríguez	América	26	32	4																			
Uruguay	MF	Maximiliano Araújo	Sporting CP	26	28	3																			
Uruguay	MF	Agustín Canobbio	Fluminense	27	15	1																			
Uruguay	MF	Emiliano Martínez	Palmeiras	26	10	0																			
Uruguay	MF	Rodrigo Zalazar	Braga	26	8	2																			
Uruguay	MF	Juan Manuel Sanabria	Real Salt Lake	26	5	1																			
Uruguay	FW	Darwin Núñez	Al-Hilal	26	38	13																			
Uruguay	FW	Federico Viñas	Oviedo	27	11	2																			
Uruguay	FW	Rodrigo Aguirre	UANL	31	10	3																			
France	GK	Mike Maignan	Milan	30	38	0																			
France	GK	Brice Samba	Rennes	32	4	0																			
